changan     ->长安城         
stone       ->花果山仙石     
moon        ->昆仑山月宫     
lingtai     ->灵台方寸山     
xueshan     ->大雪山寒冰谷   
wuzhuang    ->万寿山五庄观   
yalong      ->压龙山         
chechi      ->车迟国         
jindou      ->金兜山         
dudi        ->毒敌山         
jilei       ->积雷山         
jingjiling  ->荆棘岭         
zhuzi       ->朱紫国         
pansi       ->盘丝岭         
qinghua     ->清华庄         
qinfa       ->钦法国         
yinwu       ->隐雾山         
baotou      ->豹头山         
jinping     ->金平府         
tianzhu     ->天竺国         
lingshan    ->灵山           
pingding    ->平顶山
kaifeng     ->开封城    
sky         ->南天门    
penglai     ->蓬莱仙岛  
putuo       ->南海普陀山
meishan     ->梅山灌江口
baoxiang    ->宝象国    
wuji        ->乌鸡国    
tongtian    ->通天河    
nuerguo     ->女儿国    
firemount   ->火焰山    
jisaiguo    ->祭赛国    
xiaoxitian  ->小西天    
qilin       ->麒麟山    
biqiu       ->比丘国    
wudidong    ->无底洞    
fengxian    ->凤仙郡    
yuhua       ->玉华县    
zhujie      ->竹节山    
qinglong    ->青龙山    
maoying     ->毛颖山    
jiangzhou   ->江州
